Posted Date,Description,Amount,Balance,Reference
2026-01-01,ACH CREDIT RIVERBEND NATURA PPD,23670.49,502610.33,555626004701223
2026-01-01,ACH CREDIT MADRONA FOOD CO- PPD,13392.73,516003.06,754938288088095
2026-01-01,ACH CREDIT HAWTHORNE FRESH  PPD,25894.56,541897.62,177278687227208
2026-01-01,REMOTE DEPOSIT CAPTURE,23550.64,565448.26,6555
2026-01-01,ACH CREDIT SALT MARSH KITCH PPD,3860.75,569309.01,925916204380109
2026-01-01,ACH DEBIT GOWEN FIELD COMMER CCD,-4875.00,564434.01,789443658776855
2026-01-01,ACH DEBIT LOMBARD STREET PRO CCD,-8500.00,555934.01,562010601494074
2026-01-01,ACH DEBIT DUWAMISH INDUSTRIA CCD,-6420.00,549514.01,847790841897875
2026-01-02,REMOTE DEPOSIT CAPTURE,799.94,550313.95,2462
2026-01-02,REMOTE DEPOSIT CAPTURE,3834.56,554148.51,2065
2026-01-02,ACH CREDIT VALE BRASSERIE PPD,2721.80,556870.31,542715099735311
2026-01-02,ACH CREDIT NORTHSTAR DELI PPD,3934.01,560804.32,122133955071996
2026-01-05,REMOTE DEPOSIT CAPTURE,16317.07,577121.39,9448
2026-01-05,REMOTE DEPOSIT CAPTURE,2858.18,579979.57,66
2026-01-05,REMOTE DEPOSIT CAPTURE,26756.65,606736.22,847
2026-01-05,REMOTE DEPOSIT CAPTURE,27326.69,634062.91,8226
2026-01-05,REMOTE DEPOSIT CAPTURE,1007.32,635070.23,1198
2026-01-05,ACH CREDIT NETTLE CANTINA PPD,2448.21,637518.44,423364336277336
2026-01-05,REMOTE DEPOSIT CAPTURE,1220.39,638738.83,8847
2026-01-05,REMOTE DEPOSIT CAPTURE,2734.49,641473.32,5326
2026-01-05,REMOTE DEPOSIT CAPTURE,3646.46,645119.78,4734
2026-01-05,REMOTE DEPOSIT CAPTURE,809.95,645929.73,9430
2026-01-05,ACH CREDIT MOUNTAIN GROCERS PPD,23929.86,669859.59,231727917349525
2026-01-05,ACH CREDIT KETTLE BISTRO PPD,3481.45,673341.04,136945394687333
2026-01-05,REMOTE DEPOSIT CAPTURE,17810.36,691151.40,2558
2026-01-05,REMOTE DEPOSIT CAPTURE,3800.87,694952.27,4798
2026-01-06,REMOTE DEPOSIT CAPTURE,25448.04,720400.31,3376
2026-01-06,ACH CREDIT UPLAND KITCHEN PPD,1302.63,721702.94,278598695624204
