Date,Currency Pair,Rate
2026-01-01,EUR/USD,1.0735
2026-01-02,EUR/USD,1.0744
2026-01-03,EUR/USD,1.0730
2026-01-04,EUR/USD,1.0736
2026-01-05,EUR/USD,1.0752
2026-01-06,EUR/USD,1.0732
2026-01-07,EUR/USD,1.0738
2026-01-08,EUR/USD,1.0755
2026-01-09,EUR/USD,1.0747
2026-01-10,EUR/USD,1.0738
2026-01-11,EUR/USD,1.0746
2026-01-12,EUR/USD,1.0742
2026-01-13,EUR/USD,1.0760
2026-01-14,EUR/USD,1.0760
2026-01-15,EUR/USD,1.0749
2026-01-16,EUR/USD,1.0766
2026-01-17,EUR/USD,1.0756
2026-01-18,EUR/USD,1.0766
2026-01-19,EUR/USD,1.0762
2026-01-20,EUR/USD,1.0770
2026-01-21,EUR/USD,1.0756
2026-01-22,EUR/USD,1.0771
2026-01-23,EUR/USD,1.0765
2026-01-24,EUR/USD,1.0779
2026-01-25,EUR/USD,1.0773
2026-01-26,EUR/USD,1.0781
2026-01-27,EUR/USD,1.0766
2026-01-28,EUR/USD,1.0772
2026-01-29,EUR/USD,1.0776
2026-01-30,EUR/USD,1.0773
2026-01-31,EUR/USD,1.0773
2026-02-01,EUR/USD,1.0778
2026-02-02,EUR/USD,1.0795
2026-02-03,EUR/USD,1.0784
2026-02-04,EUR/USD,1.0791
2026-02-05,EUR/USD,1.0797
2026-02-06,EUR/USD,1.0800
2026-02-07,EUR/USD,1.0786
2026-02-08,EUR/USD,1.0789
2026-02-09,EUR/USD,1.0791
2026-02-10,EUR/USD,1.0793
2026-02-11,EUR/USD,1.0802
2026-02-12,EUR/USD,1.0802
2026-02-13,EUR/USD,1.0800
2026-02-14,EUR/USD,1.0810
2026-02-15,EUR/USD,1.0798
2026-02-16,EUR/USD,1.0817
2026-02-17,EUR/USD,1.0819
2026-02-18,EUR/USD,1.0813
2026-02-19,EUR/USD,1.0826
2026-02-20,EUR/USD,1.0827
2026-02-21,EUR/USD,1.0827
2026-02-22,EUR/USD,1.0823
2026-02-23,EUR/USD,1.0824
2026-02-24,EUR/USD,1.0822
2026-02-25,EUR/USD,1.0819
2026-02-26,EUR/USD,1.0823
2026-02-27,EUR/USD,1.0822
2026-02-28,EUR/USD,1.0827
2026-03-01,EUR/USD,1.0835
2026-03-02,EUR/USD,1.0832
2026-03-03,EUR/USD,1.0840
2026-03-04,EUR/USD,1.0828
2026-03-05,EUR/USD,1.0842
2026-03-06,EUR/USD,1.0842
2026-03-07,EUR/USD,1.0840
2026-03-08,EUR/USD,1.0845
2026-03-09,EUR/USD,1.0851
2026-03-10,EUR/USD,1.0848
2026-03-11,EUR/USD,1.0848
2026-03-12,EUR/USD,1.0850
2026-03-13,EUR/USD,1.0839
2026-03-14,EUR/USD,1.0848
2026-03-15,EUR/USD,1.0846
2026-03-16,EUR/USD,1.0830
2026-03-17,EUR/USD,1.0832
2026-03-18,EUR/USD,1.0838
2026-03-19,EUR/USD,1.0842
2026-03-20,EUR/USD,1.0842
2026-03-21,EUR/USD,1.0831
2026-03-22,EUR/USD,1.0821
2026-03-23,EUR/USD,1.0828
2026-03-24,EUR/USD,1.0834
2026-03-25,EUR/USD,1.0824
2026-03-26,EUR/USD,1.0814
2026-03-27,EUR/USD,1.0807
2026-03-28,EUR/USD,1.0810
2026-03-29,EUR/USD,1.0815
2026-03-30,EUR/USD,1.0801
2026-03-31,EUR/USD,1.0808
2026-04-01,EUR/USD,1.0812
2026-04-02,EUR/USD,1.0800
2026-04-03,EUR/USD,1.0796
2026-04-04,EUR/USD,1.0806
2026-04-05,EUR/USD,1.0799
2026-04-06,EUR/USD,1.0790
2026-04-07,EUR/USD,1.0790
2026-04-08,EUR/USD,1.0784
2026-04-09,EUR/USD,1.0790
2026-04-10,EUR/USD,1.0807
2026-04-11,EUR/USD,1.0802
2026-04-12,EUR/USD,1.0827
2026-04-13,EUR/USD,1.0816
2026-04-14,EUR/USD,1.0829
2026-04-15,EUR/USD,1.0855
2026-04-16,EUR/USD,1.0867
2026-04-17,EUR/USD,1.0868
2026-04-18,EUR/USD,1.0885
2026-04-19,EUR/USD,1.0882
2026-04-20,EUR/USD,1.0885
2026-04-21,EUR/USD,1.0906
2026-04-22,EUR/USD,1.0913
2026-04-23,EUR/USD,1.0912
2026-04-24,EUR/USD,1.0934
