Vendor ID,Vendor,Type,Num,Date,Due Date,Currency,Current,1 - 30,31 - 60,61 - 90,> 90,Open Balance (USD)
V-1011,Klamath Basin Potato Co.,Bill,B-20917,12/24/2025,01/23/2026,USD,"6,590.69",,,,,"6,590.69"
V-1011,Klamath Basin Potato Co.,Bill,B-20293,12/29/2025,01/28/2026,USD,"5,060.29",,,,,"5,060.29"
V-1015,Deschutes Brewing Supply Co-op,Bill,B-20810,12/16/2025,01/15/2026,USD,"11,793.60",,,,,"11,793.60"
V-1015,Deschutes Brewing Supply Co-op,Bill,B-20191,12/17/2025,01/16/2026,USD,"14,235.83",,,,,"14,235.83"
V-1020,Cascade Coldchain Logistics,Bill,B-21129,12/15/2025,01/14/2026,USD,"3,013.46",,,,,"3,013.46"
V-1023,Clearwater Creamery,Bill,B-20215,12/23/2025,01/22/2026,USD,"9,881.12",,,,,"9,881.12"
V-1031,Tualatin Hazelnut Co.,Bill,B-20185,12/09/2025,01/08/2026,USD,"3,886.60",,,,,"3,886.60"
V-1055,Wenatchee Pear Packers,Bill,B-21241,12/26/2025,01/25/2026,USD,"7,884.64",,,,,"7,884.64"
V-1058,Ridgeline Express,Bill,B-20173,12/23/2025,01/22/2026,USD,"1,898.65",,,,,"1,898.65"
V-1074,Scappoose Organic Farms,Bill,B-20480,12/09/2025,01/08/2026,USD,"13,627.78",,,,,"13,627.78"
V-1074,Scappoose Organic Farms,Bill,B-21183,12/16/2025,01/15/2026,USD,"10,441.53",,,,,"10,441.53"
V-1077,Puget Sound Shellfish Co.,Bill,B-20082,12/22/2025,01/21/2026,USD,"14,167.78",,,,,"14,167.78"
V-1077,Puget Sound Shellfish Co.,Bill,B-20142,12/22/2025,01/21/2026,USD,"6,836.23",,,,,"6,836.23"
V-1078,Rogue Valley Cheese Works,Bill,B-20843,12/15/2025,01/14/2026,USD,"7,605.70",,,,,"7,605.70"
V-1078,Rogue Valley Cheese Works,Bill,B-20756,12/29/2025,01/28/2026,USD,"3,844.97",,,,,"3,844.97"
