Customer ID,Customer,Type,Num,Date,Due Date,Currency,Current,1 - 30,31 - 60,61 - 90,> 90,Open Balance (USD)
C-0001,Meadowlark Bistro,Invoice,INV-9985,12/26/2025,01/10/2026,USD,"1,814.84",,,,,"1,814.84"
C-0012,Olallie Market,Invoice,INV-9870,12/04/2025,01/03/2026,USD,"15,991.86",,,,,"15,991.86"
C-0012,Olallie Market,Invoice,INV-9977,12/23/2025,01/22/2026,USD,"16,152.03",,,,,"16,152.03"
C-0014,Rivet Supper Club,Invoice,INV-9912,12/11/2025,12/26/2025,USD,,"2,851.99",,,,"2,851.99"
C-0027,Cascade Harvest Grocers,Invoice,INV-9873,12/10/2025,01/09/2026,USD,"25,448.04",,,,,"25,448.04"
C-0027,Cascade Harvest Grocers,Invoice,INV-9964,12/23/2025,01/22/2026,USD,"12,453.02",,,,,"12,453.02"
C-0033,Treasure Valley Market,Invoice,INV-9891,12/09/2025,01/08/2026,USD,"20,348.26",,,,,"20,348.26"
C-0033,Treasure Valley Market,Invoice,INV-9935,12/16/2025,01/15/2026,USD,"11,070.08",,,,,"11,070.08"
C-0035,Velvet Taproom,Invoice,INV-9852,10/10/2025,10/25/2025,USD,,,,"1,795.43",,"1,795.43"
C-0036,Alpine Eatery,Invoice,INV-9851,10/06/2025,10/21/2025,USD,,,,"1,794.44",,"1,794.44"
C-0037,Bellwether Tavern,Invoice,INV-9947,12/19/2025,01/03/2026,USD,"1,361.95",,,,,"1,361.95"
C-0040,Parsnip Pizzeria,Invoice,INV-9970,12/22/2025,01/06/2026,USD,"3,529.77",,,,,"3,529.77"
C-0045,Bridgetown Pantry,Invoice,INV-9885,12/09/2025,01/08/2026,USD,"17,381.87",,,,,"17,381.87"
C-0045,Bridgetown Pantry,Invoice,INV-9923,12/19/2025,01/18/2026,USD,"14,062.61",,,,,"14,062.61"
C-0046,Yakima Orchard Market,Invoice,INV-9861,12/05/2025,01/04/2026,USD,"21,368.66",,,,,"21,368.66"
C-0046,Yakima Orchard Market,Invoice,INV-9932,12/23/2025,01/22/2026,USD,"25,875.31",,,,,"25,875.31"
C-0047,Gable Brasserie,Invoice,INV-9936,12/16/2025,12/31/2025,USD,"2,609.75",,,,,"2,609.75"
C-0064,Juniper Hill Foods,Invoice,INV-9878,12/05/2025,01/04/2026,USD,"22,982.46",,,,,"22,982.46"
C-0064,Juniper Hill Foods,Invoice,INV-9929,12/22/2025,01/21/2026,USD,"14,839.25",,,,,"14,839.25"
C-0066,Keel Smokehouse,Invoice,INV-9954,12/18/2025,01/02/2026,USD,"2,044.03",,,,,"2,044.03"
C-0069,Riverbend Natural Grocers,Invoice,INV-9866,12/05/2025,01/04/2026,USD,"23,670.49",,,,,"23,670.49"
C-0069,Riverbend Natural Grocers,Invoice,INV-9938,12/18/2025,01/17/2026,USD,"28,235.12",,,,,"28,235.12"
C-0074,Estuary Smokehouse,Invoice,INV-10002,12/29/2025,01/13/2026,USD,"3,010.78",,,,,"3,010.78"
C-0075,Vesper Pizzeria,Invoice,INV-9965,12/22/2025,01/06/2026,USD,"1,516.99",,,,,"1,516.99"
C-0076,Thimbleberry Eatery,Invoice,INV-9927,12/17/2025,01/01/2026,USD,"3,227.86",,,,,"3,227.86"
C-0081,Fernwood Grill,Invoice,INV-10003,12/29/2025,01/13/2026,USD,"2,529.64",,,,,"2,529.64"
C-0082,Chanterelle Supper Club,Invoice,INV-9986,12/26/2025,01/10/2026,USD,"1,954.82",,,,,"1,954.82"
C-0087,Inkwell Supper Club,Invoice,INV-9909,12/12/2025,12/27/2025,USD,,799.94,,,,799.94
C-0088,Palouse Provisions,Invoice,INV-9853,12/04/2025,01/03/2026,USD,"16,317.07",,,,,"16,317.07"
C-0088,Palouse Provisions,Invoice,INV-9952,12/23/2025,01/22/2026,USD,"27,137.61",,,,,"27,137.61"
C-0089,Kinfolk Pizzeria,Invoice,INV-9917,12/15/2025,12/30/2025,USD,,"1,118.19",,,,"1,118.19"
C-0090,Zigzag Mountain Grocery,Invoice,INV-9867,12/08/2025,01/07/2026,USD,"27,626.10",,,,,"27,626.10"
C-0090,Zigzag Mountain Grocery,Invoice,INV-9930,12/22/2025,01/21/2026,USD,"25,533.85",,,,,"25,533.85"
C-0093,Heron Cafe,Invoice,INV-9924,12/15/2025,12/30/2025,USD,,"3,147.29",,,,"3,147.29"
C-0096,Pioneer Square Provisions,Invoice,INV-9862,12/08/2025,01/07/2026,USD,"22,257.49",,,,,"22,257.49"
C-0096,Pioneer Square Provisions,Invoice,INV-9958,12/22/2025,01/21/2026,USD,"27,932.99",,,,,"27,932.99"
C-0100,Copperleaf Brasserie,Invoice,INV-9918,12/15/2025,12/30/2025,USD,,"2,611.00",,,,"2,611.00"
C-0105,Whidbey Harvest Co-op,Invoice,INV-9894,12/10/2025,01/09/2026,USD,"28,391.28",,,,,"28,391.28"
C-0105,Whidbey Harvest Co-op,Invoice,INV-9895,12/16/2025,01/15/2026,USD,"25,975.29",,,,,"25,975.29"
C-0106,Fiddlehead Taproom,Invoice,INV-9982,12/25/2025,01/09/2026,USD,"1,501.38",,,,,"1,501.38"
C-0107,Green Valley Co-op,Invoice,INV-9901,12/10/2025,01/09/2026,USD,"24,744.11",,,,,"24,744.11"
C-0107,Green Valley Co-op,Invoice,INV-9949,12/22/2025,01/21/2026,USD,"11,661.91",,,,,"11,661.91"
C-0112,Loam Bakery,Invoice,INV-10004,12/29/2025,01/13/2026,USD,"1,518.35",,,,,"1,518.35"
C-0115,Gull Eatery,Invoice,INV-9905,12/10/2025,12/25/2025,USD,,"3,461.44",,,,"3,461.44"
C-0120,Saltbox Kitchen,Invoice,INV-9966,12/22/2025,01/06/2026,USD,"2,858.18",,,,,"2,858.18"
C-0121,Upland Kitchen,Invoice,INV-9906,12/10/2025,12/25/2025,USD,,"1,302.63",,,,"1,302.63"
C-0122,Owyhee Mercantile,Invoice,INV-9860,12/04/2025,01/03/2026,USD,"12,011.91",,,,,"12,011.91"
C-0122,Owyhee Mercantile,Invoice,INV-9940,12/22/2025,01/21/2026,USD,"21,083.67",,,,,"21,083.67"
