Bill No,Vendor ID,Vendor Name,Vendor Ref,Bill Date,Due Date,Currency,Amount,Balance Due,Status
B-20001,V-1281,Boardman Tree Fruit,BTF-48239,01/05/2026,02/04/2026,USD,"15,169.47",0.00,Paid
B-20002,V-1252,Snake River Trout Farms,SRT-48385,06/03/2026,07/03/2026,USD,"15,069.54","15,069.54",Open
B-20003,V-1136,Hells Canyon Honey,HCH-37360,03/26/2026,04/25/2026,USD,"4,221.10",0.00,Paid
B-20004,V-1237,McKenzie River Mills,MRM-67636,06/15/2026,07/15/2026,USD,"6,057.21","6,057.21",Open
B-20005,V-1181,Duwamish Industrial Partners,RENT-2026-02,02/01/2026,02/01/2026,USD,"6,420.00",0.00,Paid
B-20006,V-1299,Evergreen Box & Film,EBF-19484,04/03/2026,05/03/2026,USD,"2,794.85",0.00,Paid
B-20008,V-1299,Evergreen Box & Film,EBF-19487,04/21/2026,05/21/2026,USD,958.68,0.00,Paid
B-20010,V-1209,Sound Cartage Co.,SCC-77150,04/02/2026,05/02/2026,USD,"1,161.58",0.00,Paid
B-20011,V-1072,Gowen Field Commerce Park,RENT-2026-05,05/01/2026,05/01/2026,USD,"4,875.00",0.00,Paid
B-20012,V-1236,Kittitas Hay & Grain,KHG-25489,02/09/2026,02/24/2026,USD,"11,051.18",0.00,Paid
B-20013,V-1288,Wallowa Grass-Fed Beef,WGB-72150,06/05/2026,07/05/2026,USD,"9,585.67","9,585.67",Open
B-20014,V-1284,Hood Canal Oyster Co.,HCO-69340,04/27/2026,05/27/2026,USD,"15,014.40",0.00,Paid
B-20015,V-1289,Blue Heron Preserves,BHP-43665,03/25/2026,04/09/2026,USD,"14,533.75",0.00,Paid
B-20016,V-1224,Siuslaw Cranberry Growers,SCG-27287,01/14/2026,02/13/2026,USD,"7,143.54",0.00,Paid
B-20017,V-1204,Northwest Reefer Transport,NRT-66755,06/26/2026,07/26/2026,USD,"2,934.41","2,934.41",Open
B-20018,V-1206,Pend Oreille Wild Rice,POW-23804,03/03/2026,04/02/2026,USD,"13,719.59",0.00,Paid
B-20019,V-1299,Evergreen Box & Film,EBF-19411,01/27/2026,02/26/2026,USD,"2,105.71",0.00,Paid
B-20020,V-1080,Mt. Hood Berry Farm,MHB-48654,04/30/2026,05/30/2026,USD,"9,191.46",0.00,Paid
B-20021,V-1274,Olympic Peninsula Mushrooms,OPM-33906,06/10/2026,06/25/2026,USD,"14,533.50",0.00,Paid
B-20024,V-1274,Olympic Peninsula Mushrooms,OPM-33632,01/05/2026,01/20/2026,USD,"14,115.71",0.00,Paid
B-20025,V-1173,Nisqually Salmon Co.,NSC-71924,04/01/2026,05/01/2026,USD,"11,512.24",0.00,Paid
B-20027,V-1227,Blue Mountain Carriers,BMC-59664,03/27/2026,04/26/2026,USD,"3,788.26",0.00,Paid
B-20028,V-1161,Salem Pallet Recyclers,SPR-14190,03/13/2026,04/12/2026,USD,384.48,0.00,Paid
B-20029,V-1255,Coquille Dairy Cooperative,CDC-45187,03/06/2026,04/05/2026,USD,"9,036.20",0.00,Paid
B-20030,V-1120,Columbia River Freightways,CRF-78015,04/24/2026,05/24/2026,USD,"3,580.57",0.00,Paid
B-20034,V-1239,Newberg Nut Growers,NNG-32086,02/23/2026,03/25/2026,USD,"11,620.22",0.00,Paid
B-20036,V-1180,Beaverton Forklift Leasing,BFL-51819,01/28/2026,02/27/2026,USD,"2,208.62",0.00,Paid
B-20037,V-1227,Blue Mountain Carriers,BMC-59414,01/12/2026,02/11/2026,USD,"1,589.02",0.00,Paid
B-20038,V-1290,Columbia Gorge Orchards,CGO-75935,12/19/2025,01/18/2026,USD,"10,340.97",0.00,Paid
B-20039,V-1224,Siuslaw Cranberry Growers,SCG-27296,01/30/2026,03/01/2026,USD,"12,859.33",0.00,Paid
B-20040,V-1288,Wallowa Grass-Fed Beef,WGB-72008,04/17/2026,05/17/2026,USD,"5,444.25",0.00,Paid
