Account,Account Description,Date,Period,Type,Num,Line,Doc No,Name ID,Name,Memo,Debit,Credit,Currency,Foreign Amount,Reversal Of
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Bill Pmt -ACH,JE-CD-7375,2,PAY-D-7375,,,,,"4,875.00",USD,,
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Bill Pmt -ACH,JE-CD-7376,2,PAY-D-7376,,,,,"8,500.00",USD,,
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Bill Pmt -ACH,JE-CD-7377,2,PAY-D-7377,,,,,"6,420.00",USD,,
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Payment,JE-CR-31229,1,PMT-31229,,,,"23,670.49",,USD,,
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Payment,JE-CR-31230,1,PMT-31230,,,,"13,392.73",,USD,,
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Payment,JE-CR-31231,1,PMT-31231,,,,"25,894.56",,USD,,
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Payment,JE-CR-31232,1,PMT-31232,,,,"23,550.64",,USD,,
1010,Operating Account - First Cascade 4471,01/01/2026,01/2026,Payment,JE-CR-31233,1,PMT-31233,,,,"3,860.75",,USD,,
1010,Operating Account - First Cascade 4471,01/02/2026,01/2026,Payment,JE-CR-31234,1,PMT-31234,,,,799.94,,USD,,
1010,Operating Account - First Cascade 4471,01/02/2026,01/2026,Payment,JE-CR-31235,1,PMT-31235,,,,"3,834.56",,USD,,
1010,Operating Account - First Cascade 4471,01/02/2026,01/2026,Payment,JE-CR-31236,1,PMT-31236,,,,"2,721.80",,USD,,
1010,Operating Account - First Cascade 4471,01/02/2026,01/2026,Payment,JE-CR-31237,1,PMT-31237,,,,"3,934.01",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31238,1,PMT-31238,,,,"16,317.07",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31239,1,PMT-31239,,,,"2,858.18",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31240,1,PMT-31240,,,,"26,756.65",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31241,1,PMT-31241,,,,"27,326.69",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31242,1,PMT-31242,,,,"1,007.32",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31243,1,PMT-31243,,,,"2,448.21",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31244,1,PMT-31244,,,,"1,220.39",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31245,1,PMT-31245,,,,"2,734.49",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31246,1,PMT-31246,,,,"3,646.46",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31247,1,PMT-31247,,,,809.95,,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31248,1,PMT-31248,,,,"23,929.86",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31249,1,PMT-31249,,,,"3,481.45",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31250,1,PMT-31250,,,,"17,810.36",,USD,,
1010,Operating Account - First Cascade 4471,01/05/2026,01/2026,Payment,JE-CR-31251,1,PMT-31251,,,,"3,800.87",,USD,,
1010,Operating Account - First Cascade 4471,01/06/2026,01/2026,Payment,JE-CR-31252,1,PMT-31252,,,,"25,448.04",,USD,,
1010,Operating Account - First Cascade 4471,01/06/2026,01/2026,Payment,JE-CR-31253,1,PMT-31253,,,,"1,302.63",,USD,,
1010,Operating Account - First Cascade 4471,01/06/2026,01/2026,Payment,JE-CR-31254,1,PMT-31254,,,,"2,350.59",,USD,,
1010,Operating Account - First Cascade 4471,01/06/2026,01/2026,Payment,JE-CR-31255,1,PMT-31255,,,,"26,178.70",,USD,,
1010,Operating Account - First Cascade 4471,01/06/2026,01/2026,Payment,JE-CR-31256,1,PMT-31256,,,,962.88,,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31257,1,PMT-31257,,,,"20,348.26",,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31258,1,PMT-31258,,,,"3,147.29",,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31259,1,PMT-31259,,,,"2,611.00",,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31260,1,PMT-31260,,,,"18,467.16",,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31261,1,PMT-31261,,,,"19,621.81",,USD,,
1010,Operating Account - First Cascade 4471,01/07/2026,01/2026,Payment,JE-CR-31262,1,PMT-31262,,,,831.13,,USD,,
