Payment No,Type,Date,Name ID,Name,Method,Check/Ref No,Currency,Amount,Exchange Rate,Amount (USD),Applied To,Applied Amount,Unapplied
PAY-D-7375,Bill Payment,01/01/2026,V-1072,Gowen Field Commerce Park,ACH,789443658776855,USD,"4,875.00",1.0000,"4,875.00",B-20670,"4,875.00",0.00
PAY-D-7376,Bill Payment,01/01/2026,V-1167,Lombard Street Properties LLC,ACH,562010601494074,USD,"8,500.00",1.0000,"8,500.00",B-20872,"8,500.00",0.00
PAY-D-7377,Bill Payment,01/01/2026,V-1181,Duwamish Industrial Partners,ACH,847790841897875,USD,"6,420.00",1.0000,"6,420.00",B-20297,"6,420.00",0.00
PAY-D-7378,Bill Payment,01/08/2026,V-1020,Cascade Coldchain Logistics,CHECK,40109,USD,"3,013.46",1.0000,"3,013.46",B-21129,"3,013.46",0.00
PAY-D-7379,Bill Payment,01/08/2026,V-1031,Tualatin Hazelnut Co.,CHECK,40110,USD,"3,886.60",1.0000,"3,886.60",B-20185,"3,886.60",0.00
PAY-D-7380,Bill Payment,01/08/2026,V-1074,Scappoose Organic Farms,CHECK,40111,USD,"13,627.78",1.0000,"13,627.78",B-20480,"13,627.78",0.00
PAY-D-7381,Bill Payment,01/08/2026,V-1078,Rogue Valley Cheese Works,ACH,283080562163607,USD,"7,605.70",1.0000,"7,605.70",B-20843,"7,605.70",0.00
PAY-D-7382,Bill Payment,01/08/2026,V-1080,Mt. Hood Berry Farm,ACH,319173190035703,USD,"10,765.21",1.0000,"10,765.21",B-21328,"10,765.21",0.00
PAY-D-7383,Bill Payment,01/08/2026,V-1119,Cowlitz Creek Farms,ACH,914786650689148,USD,"11,282.31",1.0000,"11,282.31",B-20834,"11,282.31",0.00
PAY-D-7384,Bill Payment,01/08/2026,V-1124,Coos Bay Crab Co.,CHECK,40112,USD,"5,952.68",1.0000,"5,952.68",B-21168,"5,952.68",0.00
PAY-D-7385,Bill Payment,01/08/2026,V-1127,Nooksack Berry Growers,ACH,959020448504076,USD,"22,202.51",1.0000,"22,202.51",B-20518,"13,031.60",0.00
PAY-D-7385,Bill Payment,01/08/2026,V-1127,Nooksack Berry Growers,ACH,959020448504076,USD,"22,202.51",1.0000,"22,202.51",B-20940,"9,170.91",
PAY-D-7386,Bill Payment,01/08/2026,V-1128,Yakima Hop & Herb,ACH,133882467226967,USD,"11,437.23",1.0000,"11,437.23",B-21392,"11,437.23",0.00
PAY-D-7387,Bill Payment,01/08/2026,V-1136,Hells Canyon Honey,CHECK,40113,USD,"11,303.18",1.0000,"11,303.18",B-20262,"11,303.18",0.00
PAY-D-7388,Bill Payment,01/08/2026,V-1173,Nisqually Salmon Co.,CHECK,40114,USD,"9,246.62",1.0000,"9,246.62",B-20884,"9,246.62",0.00
PAY-D-7389,Bill Payment,01/08/2026,V-1193,Chehalis Valley Eggs,ACH,533081267169472,USD,"7,615.80",1.0000,"7,615.80",B-21538,"7,615.80",0.00
PAY-D-7390,Bill Payment,01/08/2026,V-1205,Methow Valley Apples,ACH,460286965825901,USD,"10,255.29",1.0000,"10,255.29",B-20153,"4,834.32",0.00
PAY-D-7390,Bill Payment,01/08/2026,V-1205,Methow Valley Apples,ACH,460286965825901,USD,"10,255.29",1.0000,"10,255.29",B-20292,"5,420.97",
PAY-D-7391,Bill Payment,01/08/2026,V-1216,Chinook Smokehouse Co.,ACH,970285804340982,USD,"16,316.78",1.0000,"16,316.78",B-21274,"5,918.74",0.00
