Account,Description,Period Ending,Debit,Credit
1000,Petty Cash,12/31/2025,400.00,
1010,Operating Account - First Cascade 4471,12/31/2025,"471,385.08",
1015,Payroll Account - First Cascade 4488,12/31/2025,"5,000.00",
1020,Money Market - First Cascade 4490,12/31/2025,"250,000.00",
1030,Savings - Umpqua (closed),12/31/2025,0.00,
1100,Undeposited Funds,12/31/2025,0.00,
1110,Returned Checks,12/31/2025,0.00,
1200,Accounts Receivable,12/31/2025,"1,772,345.16",
1205,Allowance for Doubtful Accounts,12/31/2025,,"35,000.00"
1215,Employee Advances,12/31/2025,0.00,
1250,Other Receivables,12/31/2025,"3,150.00",
1260,Notes Receivable,12/31/2025,0.00,
1300,Inventory - Finished Goods,12/31/2025,"1,418,250.00",
1310,Inventory in Transit,12/31/2025,0.00,
1320,Inventory - Samples,12/31/2025,0.00,
1400,Prepaid Insurance,12/31/2025,"39,300.00",
1410,Prepaid Expenses - Other,12/31/2025,"18,400.00",
1420,Security Deposits,12/31/2025,"42,500.00",
1500,Warehouse Equipment,12/31/2025,"1,182,400.00",
1510,Vehicles,12/31/2025,"486,300.00",
1520,Leasehold Improvements,12/31/2025,"211,750.00",
1530,Office Furniture & Equipment,12/31/2025,"38,620.00",
1540,Computer Equipment,12/31/2025,"52,980.00",
1590,Accumulated Depreciation,12/31/2025,,"412,640.00"
1600,Utility Deposits,12/31/2025,"6,200.00",
1700,Customer Lists,12/31/2025,"60,000.00",
1790,Accumulated Amortization,12/31/2025,,"36,000.00"
2000,Accounts Payable,12/31/2025,,"735,473.01"
2050,Cascade Visa Business,12/31/2025,0.00,
2060,Amex Corporate (closed),12/31/2025,0.00,
2100,Accrued Liabilities,12/31/2025,,"10,860.00"
2150,Payroll Liabilities,12/31/2025,0.00,
2160,Accrued Commissions,12/31/2025,,"16,920.00"
2170,Accrued Vacation,12/31/2025,,"48,620.00"
2200,Sales Tax Payable,12/31/2025,0.00,
2210,Use Tax Payable,12/31/2025,0.00,
2220,Oregon CAT Payable,12/31/2025,,"7,840.00"
2300,Customer Deposits,12/31/2025,0.00,
2400,Deferred Revenue,12/31/2025,0.00,
2500,Line of Credit - First Cascade,12/31/2025,,"900,000.00"
2700,Equipment Loan - First Cascade,12/31/2025,,"268,400.00"
2710,Vehicle Loans,12/31/2025,,"94,200.00"
2800,Due to Shareholder,12/31/2025,0.00,
3000,Common Stock,12/31/2025,,"50,000.00"
3100,Additional Paid-In Capital,12/31/2025,,"150,000.00"
3900,Retained Earnings,12/31/2025,,"3,293,027.23"
3950,Shareholder Distributions,12/31/2025,0.00,
4000,Sales - Wholesale Grocery,12/31/2025,0.00,
4010,Sales - Foodservice,12/31/2025,0.00,
4100,Sales - Export,12/31/2025,0.00,
4200,Freight Income,12/31/2025,0.00,
4300,Rebate Income,12/31/2025,0.00,
4400,Miscellaneous Income,12/31/2025,0.00,
4900,Sales Discounts,12/31/2025,0.00,
4950,Returns & Allowances,12/31/2025,0.00,
5000,Cost of Goods Sold,12/31/2025,0.00,
5010,Inventory Adjustments,12/31/2025,0.00,
5020,Purchase Price Variance,12/31/2025,0.00,
5030,Samples & Demos,12/31/2025,0.00,
5100,Inbound Freight - COGS,12/31/2025,0.00,
5150,Packaging Materials,12/31/2025,0.00,
5200,Spoilage & Shrink,12/31/2025,0.00,
5300,Co-Packing Fees,12/31/2025,0.00,
6000,Advertising & Marketing,12/31/2025,0.00,
6010,Trade Shows,12/31/2025,0.00,
6020,Website,12/31/2025,0.00,
6030,Meals & Entertainment,12/31/2025,0.00,
6040,Travel,12/31/2025,0.00,
6050,Donations,12/31/2025,0.00,
6060,Licenses & Permits,12/31/2025,0.00,
6070,Property Taxes,12/31/2025,0.00,
6080,Business Taxes,12/31/2025,0.00,
6090,Recruiting,12/31/2025,0.00,
6100,Wages - Warehouse,12/31/2025,0.00,
6105,Wages - Drivers,12/31/2025,0.00,
6110,Wages - Office,12/31/2025,0.00,
6120,Payroll Taxes,12/31/2025,0.00,
6130,Employee Benefits,12/31/2025,0.00,
6140,Workers Compensation,12/31/2025,0.00,
6150,Sales Commissions,12/31/2025,0.00,
6160,Temporary Labor,12/31/2025,0.00,
6170,Training,12/31/2025,0.00,
6180,Employee Relations,12/31/2025,0.00,
6190,Payroll Processing Fees,12/31/2025,0.00,
6200,Utilities - Electric,12/31/2025,0.00,
6210,Utilities - Water & Sewer,12/31/2025,0.00,
6220,Telephone & Internet,12/31/2025,0.00,
6230,Utilities - Gas,12/31/2025,0.00,
6240,Waste Removal,12/31/2025,0.00,
6300,Rent - Portland Warehouse,12/31/2025,0.00,
6310,Rent - Seattle Warehouse,12/31/2025,0.00,
6320,Rent - Boise Warehouse,12/31/2025,0.00,
6330,Third-Party Storage,12/31/2025,0.00,
6400,Freight-In,12/31/2025,0.00,
6410,Freight Rebates,12/31/2025,0.00,
6420,Delivery Fuel,12/31/2025,0.00,
6430,Vehicle Repairs & Maintenance,12/31/2025,0.00,
6440,Tolls & Parking,12/31/2025,0.00,
6450,Vehicle Registration,12/31/2025,0.00,
6460,Vehicle Leases,12/31/2025,0.00,
6500,Insurance - General,12/31/2025,0.00,
6510,Insurance - Vehicles,12/31/2025,0.00,
6520,Insurance - Product Liability,12/31/2025,0.00,
6600,Repairs - Refrigeration & Equipment,12/31/2025,0.00,
6610,Forklift Lease,12/31/2025,0.00,
6620,Building Repairs,12/31/2025,0.00,
6630,Small Tools & Equipment,12/31/2025,0.00,
6700,Depreciation Expense,12/31/2025,0.00,
6710,Amortization Expense,12/31/2025,0.00,
6800,Bad Debt Expense,12/31/2025,0.00,
6810,Collection Fees,12/31/2025,0.00,
6900,Office Supplies,12/31/2025,0.00,
6910,Postage & Delivery,12/31/2025,0.00,
6920,Bank Service Charges,12/31/2025,0.00,
6925,Merchant Fees,12/31/2025,0.00,
6930,Dues & Subscriptions,12/31/2025,0.00,
6935,Software Subscriptions,12/31/2025,0.00,
6940,Accounting Fees,12/31/2025,0.00,
6945,Consulting Fees,12/31/2025,0.00,
6950,Legal Fees,12/31/2025,0.00,
6960,IT Services,12/31/2025,0.00,
6970,Janitorial,12/31/2025,0.00,
6980,Pest Control,12/31/2025,0.00,
6990,Uniforms & Laundry,12/31/2025,0.00,
6995,Miscellaneous Expense (old),12/31/2025,0.00,
6999,Suspense – Clearing,12/31/2025,0.00,
7100,Foreign Exchange Gain/Loss,12/31/2025,0.00,
7200,Interest Expense,12/31/2025,0.00,
7300,Interest Income,12/31/2025,0.00,
7400,Gain/Loss on Asset Disposal,12/31/2025,0.00,
7900,Other Expense,12/31/2025,0.00,
8000,Owner Draw (old),12/31/2025,0.00,
1000,Petty Cash,01/31/2026,400.00,
1010,Operating Account - First Cascade 4471,01/31/2026,"819,050.69",
1015,Payroll Account - First Cascade 4488,01/31/2026,"5,000.00",
1020,Money Market - First Cascade 4490,01/31/2026,"250,000.00",
1030,Savings - Umpqua (closed),01/31/2026,0.00,
1100,Undeposited Funds,01/31/2026,0.00,
1110,Returned Checks,01/31/2026,0.00,
1200,Accounts Receivable,01/31/2026,"1,744,002.81",
