Customer ID,Customer Name,Address,City,State,Zip,Country,AP Email,Tax ID,Currency,Terms,Status,Created
C-0001,Meadowlark Bistro,1332 Main St,Gresham,OR,97094,US,billing@meadowlarkbistro.com,XX-XXX9968,USD,Net 15,Active,08/05/2011
C-0002,Flint Noodle House,4020 SE Division St,Lake Oswego,OR,97017,US,billing@flintnoodlehouse.com,XX-XXX4046,USD,Net 15,Active,01/19/2020
C-0003,West Brook Grocery,8695 Harbor Dr,Salem,OR,97306,US,ap@westbrookgrocery.com,XX-XXX5811,USD,Net 30,Inactive,06/15/2013
C-0004,Silver Pine Bistro,1434 Broadway,Eugene,OR,97434,US,ap@silverpinebistro.com,XX-XXX4755,USD,Net 30,Inactive,09/19/2015
C-0005,Old Mill Provisions,6038 N Mississippi Ave,Lake Oswego,OR,97046,US,ap@oldmillprovisions.com,XX-XXX9206,USD,Net 30,Inactive,04/06/2016
C-0006,Sunny Summit Market,2264 Broadway,Olympia,WA,98533,US,ap@sunnysummitmarket.com,XX-XXX6313,USD,Net 30,Inactive,02/21/2018
C-0007,Low Canyon Cafe,5844 Commercial St NE,Salem,OR,97349,US,ap@lowcanyoncafe.com,XX-XXX2739,USD,Net 30,Inactive,10/25/2010
C-0008,Alder Cantina,5857 Evergreen Pkwy,Salem,OR,97363,US,billing@aldercantina.com,XX-XXX1226,USD,Net 15,Active,01/31/2021
C-0009,Blue Prairie Catering,2128 Market St,Eugene,OR,97469,US,ap@blueprairiecaterin.com,XX-XXX8443,USD,Net 30,Inactive,06/28/2015
C-0010,High Spring Kitchen,4728 Harbor Dr,Seattle,WA,98132,US,ap@highspringkitchen.com,XX-XXX8957,USD,Net 30,Inactive,02/06/2017
C-0011,Blue Canyon Bistro,4571 Harbor Dr,Lake Oswego,OR,97016,US,ap@bluecanyonbistro.com,XX-XXX8567,USD,Net 30,Inactive,02/25/2014
C-0012,Olallie Market,4111 Market St,Hood River,OR,97059,US,ap@olalliemarket.com,XX-XXX3384,USD,Net 30,Active,09/28/2017
C-0013,High Mill Kitchen,400 Olive Way,Tacoma,WA,98465,US,ap@highmillkitchen.com,XX-XXX4313,USD,Net 30,Inactive,02/12/2021
C-0014,Rivet Supper Club,8871 Broadway,Tacoma,WA,98413,US,billing@rivetsupperclub.com,XX-XXX4895,USD,Net 15,Active,12/18/2014
C-0015,Hidden Brook Market,4407 N Mississippi Ave,Hillsboro,OR,97113,US,ap@hiddenbrookmarket.com,XX-XXX7745,USD,Net 30,Inactive,09/13/2019
C-0016,Low Hollow Bistro,8386 Market St,Vancouver,WA,98697,US,ap@lowhollowbistro.com,XX-XXX5208,USD,Net 30,Inactive,07/12/2017
C-0017,Low Spring Cafe,8469 W Idaho St,Portland,OR,97265,US,ap@lowspringcafe.com,XX-XXX1720,USD,Net 30,Inactive,06/15/2010
C-0018,Old Bridge Market,1536 Front Ave,Lake Oswego,OR,97057,US,ap@oldbridgemarket.com,XX-XXX5859,USD,Net 30,Inactive,01/13/2010
C-0019,High Hill Cafe,4975 Market St,Portland,OR,97254,US,ap@highhillcafe.com,XX-XXX2027,USD,Net 30,Inactive,02/03/2011
C-0020,Boise School Nutrition Services,5952 Evergreen Pkwy,Meridian,ID,83619,US,ap@boiseschoolnutriti.org,XX-XXX6252,USD,Net 30,Active,06/28/2016
C-0021,Old Mill Cafe,4745 Center St,Meridian,ID,83666,US,ap@oldmillcafe.com,XX-XXX5705,USD,Net 30,Inactive,01/28/2020
C-0022,Grand Canyon Provisions,4701 W Idaho St,Tacoma,WA,98402,US,ap@grandcanyonprovisi.com,XX-XXX8196,USD,Net 30,Inactive,04/11/2013
