Invoice No,Customer ID,Customer Name,Invoice Date,Due Date,Terms,Currency,Subtotal,Tax,Total,Exchange Rate,Total (USD),Balance Due,Status
INV-10000,C-0353,Uproot Cafe,12/29/2025,01/13/2026,Net 15,USD,"1,539.17",0.00,"1,539.17",1.0000,"1,539.17",0.00,Paid
INV-10001,C-0027,Cascade Harvest Grocers,01/02/2026,02/01/2026,Net 30,USD,"28,132.32",0.00,"28,132.32",1.0000,"28,132.32",0.00,Paid
INV-10002,C-0074,Estuary Smokehouse,12/29/2025,01/13/2026,Net 15,USD,"3,010.78",0.00,"3,010.78",1.0000,"3,010.78",0.00,Paid
INV-10003,C-0081,Fernwood Grill,12/29/2025,01/13/2026,Net 15,USD,"2,529.64",0.00,"2,529.64",1.0000,"2,529.64",0.00,Paid
INV-10004,C-0112,Loam Bakery,12/29/2025,01/13/2026,Net 15,USD,"1,518.35",0.00,"1,518.35",1.0000,"1,518.35",0.00,Paid
INV-10005,C-0156,Hollow Noodle House,12/29/2025,01/13/2026,Net 15,USD,"1,922.99",0.00,"1,922.99",1.0000,"1,922.99",0.00,Paid
INV-10006,C-0219,Huckleberry Grill,12/29/2025,01/13/2026,Net 15,USD,"1,870.53",0.00,"1,870.53",1.0000,"1,870.53",0.00,Paid
INV-10007,C-0389,Umpqua Valley Foods,01/02/2026,02/01/2026,Net 30,USD,"26,008.67",0.00,"26,008.67",1.0000,"26,008.67",0.00,Paid
INV-10008,C-0033,Treasure Valley Market,01/06/2026,02/05/2026,Net 30,USD,"27,972.04",0.00,"27,972.04",1.0000,"27,972.04",0.00,Paid
INV-10009,C-0014,Rivet Supper Club,01/01/2026,01/16/2026,Net 15,USD,"1,583.62",0.00,"1,583.62",1.0000,"1,583.62",0.00,Paid
INV-10010,C-0323,Waxwing Eatery,01/01/2026,01/16/2026,Net 15,USD,"1,981.70",0.00,"1,981.70",1.0000,"1,981.70",0.00,Paid
INV-10011,C-0088,Palouse Provisions,01/05/2026,02/04/2026,Net 30,USD,"24,171.28",0.00,"24,171.28",1.0000,"24,171.28",0.00,Paid
INV-10012,C-0414,Belmont Natural Foods,01/05/2026,02/04/2026,Net 30,USD,"28,638.45",0.00,"28,638.45",1.0000,"28,638.45",0.00,Paid
INV-10013,C-0221,Kiln Deli,01/01/2026,01/16/2026,Net 15,USD,"2,711.03",0.00,"2,711.03",1.0000,"2,711.03",0.00,Paid
INV-10014,C-0064,Juniper Hill Foods,01/02/2026,02/01/2026,Net 30,USD,"11,061.71",0.00,"11,061.71",1.0000,"11,061.71",0.00,Paid
INV-10015,C-0076,Thimbleberry Eatery,01/02/2026,01/17/2026,Net 15,USD,"3,600.10",0.00,"3,600.10",1.0000,"3,600.10",0.00,Paid
INV-10016,C-0045,Bridgetown Pantry,01/05/2026,02/04/2026,Net 30,USD,"20,237.07",0.00,"20,237.07",1.0000,"20,237.07",0.00,Paid
INV-10017,C-0273,Coldwater Creek Market,01/09/2026,02/08/2026,Net 30,USD,"11,041.55",0.00,"11,041.55",1.0000,"11,041.55",0.00,Paid
INV-10018,C-0415,Kestrel Market Hall,01/02/2026,02/01/2026,Net 30,USD,"25,029.58",0.00,"25,029.58",1.0000,"25,029.58",0.00,Paid
INV-10019,C-0399,Larch Mountain Mercantile,01/05/2026,02/04/2026,Net 30,USD,"20,914.11",0.00,"20,914.11",1.0000,"20,914.11",0.00,Paid
INV-10020,C-0186,Hawthorne Fresh Market,01/07/2026,02/06/2026,Net 30,USD,"20,626.27",0.00,"20,626.27",1.0000,"20,626.27",0.00,Paid
INV-10021,C-0096,Pioneer Square Provisions,01/08/2026,02/07/2026,Net 30,USD,"14,666.78",0.00,"14,666.78",1.0000,"14,666.78",0.00,Paid
INV-10022,C-0046,Yakima Orchard Market,01/05/2026,02/04/2026,Net 30,USD,"17,495.31",0.00,"17,495.31",1.0000,"17,495.31",0.00,Paid
INV-10023,C-0040,Parsnip Pizzeria,01/05/2026,01/20/2026,Net 15,USD,"1,168.41",0.00,"1,168.41",1.0000,"1,168.41",0.00,Paid
INV-10024,C-0075,Vesper Pizzeria,01/05/2026,01/20/2026,Net 15,USD,"2,035.41",0.00,"2,035.41",1.0000,"2,035.41",0.00,Paid
