Date;From;To;Rate
08.01.2026;USD;EUR;0,9120
15.01.2026;USD;EUR;0,9151
22.01.2026;USD;EUR;0,9109
29.01.2026;USD;EUR;0,9140
05.02.2026;USD;EUR;0,9171
12.02.2026;USD;EUR;0,9129
19.02.2026;USD;EUR;0,9160
26.02.2026;USD;EUR;0,9191
05.03.2026;USD;EUR;0,9149
12.03.2026;USD;EUR;0,9180
19.03.2026;USD;EUR;0,9211
26.03.2026;USD;EUR;0,9169
02.04.2026;USD;EUR;0,9200
09.04.2026;USD;EUR;0,9231
16.04.2026;USD;EUR;0,9189
23.04.2026;USD;EUR;0,9220
30.04.2026;USD;EUR;0,9251
07.05.2026;USD;EUR;0,9209
14.05.2026;USD;EUR;0,9240
21.05.2026;USD;EUR;0,9271
28.05.2026;USD;EUR;0,9229
04.06.2026;USD;EUR;0,9260
11.06.2026;USD;EUR;0,9291
18.06.2026;USD;EUR;0,9249
25.06.2026;USD;EUR;0,9280
