Code;Description;Period End;Balance
1010;Nordbank current account;31.12.2025;214.380,65
1200;Trade receivables;31.12.2025;52.350,50
1300;Instrument stock;31.12.2025;86.500,00
1400;Prepaid insurance;31.12.2025;4.200,00
2000;Trade payables;31.12.2025;-11.295,40
2150;Customer deposits;31.12.2025;-6.500,00
2200;VAT payable;31.12.2025;-11.840,25
3000;Share capital;31.12.2025;-50.000,00
3900;Retained earnings;31.12.2025;-277.795,50
4000;Instrument sales;31.12.2025;0,00
4100;Calibration services;31.12.2025;0,00
4990;Scrap recoveries;31.12.2025;0,00
5000;Cost of instruments sold;31.12.2025;0,00
6100;Workshop rent;31.12.2025;0,00
6200;Wages and salaries;31.12.2025;0,00
6900;Exchange differences;31.12.2025;0,00
1010;Nordbank current account;31.01.2026;220.191,15
1200;Trade receivables;31.01.2026;104.217,01
1300;Instrument stock;31.01.2026;55.470,84
1400;Prepaid insurance;31.01.2026;3.500,00
2000;Trade payables;31.01.2026;-24.194,45
2150;Customer deposits;31.01.2026;-6.500,00
2200;VAT payable;31.01.2026;-11.840,25
3000;Share capital;31.01.2026;-50.000,00
3900;Retained earnings;31.01.2026;-277.795,50
4000;Instrument sales;31.01.2026;-83.597,01
4100;Calibration services;31.01.2026;-3.650,00
4990;Scrap recoveries;31.01.2026;0,00
5000;Cost of instruments sold;31.01.2026;52.348,21
6100;Workshop rent;31.01.2026;3.100,00
6200;Wages and salaries;31.01.2026;18.750,00
6900;Exchange differences;31.01.2026;0,00
1010;Nordbank current account;28.02.2026;259.357,89
1200;Trade receivables;28.02.2026;118.158,79
1300;Instrument stock;28.02.2026;24.470,46
1400;Prepaid insurance;28.02.2026;2.800,00
2000;Trade payables;28.02.2026;-32.619,99
2150;Customer deposits;28.02.2026;-6.500,00
2200;VAT payable;28.02.2026;-11.840,25
3000;Share capital;28.02.2026;-50.000,00
3900;Retained earnings;28.02.2026;-277.795,50
4000;Instrument sales;28.02.2026;-167.155,30
4100;Calibration services;28.02.2026;-7.300,00
4990;Scrap recoveries;28.02.2026;0,00
5000;Cost of instruments sold;28.02.2026;104.673,18
6100;Workshop rent;28.02.2026;6.200,00
6200;Wages and salaries;28.02.2026;37.500,00
6900;Exchange differences;28.02.2026;50,72
1010;Nordbank current account;31.03.2026;309.674,99
1200;Trade receivables;31.03.2026;104.268,05
1300;Instrument stock;31.03.2026;-6.552,42
1400;Prepaid insurance;31.03.2026;2.100,00
2000;Trade payables;31.03.2026;-24.231,35
2150;Customer deposits;31.03.2026;-6.500,00
2200;VAT payable;31.03.2026;-12.990,25
3000;Share capital;31.03.2026;-50.000,00
3900;Retained earnings;31.03.2026;-277.795,50
4000;Instrument sales;31.03.2026;-250.803,35
4100;Calibration services;31.03.2026;-10.950,00
4990;Scrap recoveries;31.03.2026;0,00
5000;Cost of instruments sold;31.03.2026;157.052,01
6100;Workshop rent;31.03.2026;10.450,00
6200;Wages and salaries;31.03.2026;56.250,00
6900;Exchange differences;31.03.2026;27,82
1010;Nordbank current account;30.04.2026;340.829,49
1200;Trade receivables;30.04.2026;118.338,31
1300;Instrument stock;30.04.2026;-37.597,80
1400;Prepaid insurance;30.04.2026;1.400,00
2000;Trade payables;30.04.2026;-24.262,71
2150;Customer deposits;30.04.2026;-6.500,00
2200;VAT payable;30.04.2026;-11.840,25
3000;Share capital;30.04.2026;-50.000,00
3900;Retained earnings;30.04.2026;-277.795,50
4000;Instrument sales;30.04.2026;-334.541,16
4100;Calibration services;30.04.2026;-14.600,00
4990;Scrap recoveries;30.04.2026;-320,00
5000;Cost of instruments sold;30.04.2026;209.484,70
6100;Workshop rent;30.04.2026;12.400,00
6200;Wages and salaries;30.04.2026;75.000,00
6900;Exchange differences;30.04.2026;4,92
1010;Nordbank current account;31.05.2026;372.748,71
1200;Trade receivables;31.05.2026;139.754,15
1300;Instrument stock;31.05.2026;-68.666,20
1400;Prepaid insurance;31.05.2026;700,00
2000;Trade payables;31.05.2026;-32.669,19
2150;Customer deposits;31.05.2026;-6.500,00
2200;VAT payable;31.05.2026;-11.840,25
3000;Share capital;31.05.2026;-50.000,00
3900;Retained earnings;31.05.2026;-277.795,50
4000;Instrument sales;31.05.2026;-418.294,81
4100;Calibration services;31.05.2026;-18.250,00
4990;Scrap recoveries;31.05.2026;-320,00
5000;Cost of instruments sold;31.05.2026;261.926,89
6100;Workshop rent;31.05.2026;15.500,00
6200;Wages and salaries;31.05.2026;93.750,00
6900;Exchange differences;31.05.2026;-43,80
1010;Nordbank current account;30.06.2026;351.598,71
1200;Trade receivables;30.06.2026;227.247,56
1300;Instrument stock;30.06.2026;-99.738,04
1400;Prepaid insurance;30.06.2026;0,00
2000;Trade payables;30.06.2026;-54.093,40
2150;Customer deposits;30.06.2026;-6.500,00
2200;VAT payable;30.06.2026;-11.840,25
3000;Share capital;30.06.2026;-50.000,00
3900;Retained earnings;30.06.2026;-277.795,50
4000;Instrument sales;30.06.2026;-502.138,22
4100;Calibration services;30.06.2026;-21.900,00
4990;Scrap recoveries;30.06.2026;-320,00
5000;Cost of instruments sold;30.06.2026;314.422,94
6100;Workshop rent;30.06.2026;18.600,00
6200;Wages and salaries;30.06.2026;112.500,00
6900;Exchange differences;30.06.2026;-43,80
