Party;Name;Kind;Reference;Issued;Due;Currency;Open (EUR)
L-0001;Norrsken Components AB;Invoice;P-2025-0017;08.12.2025;07.01.2026;EUR;7.310,00
L-0001;Norrsken Components AB;Invoice;P-2026-0017;05.05.2026;04.06.2026;EUR;8.420,00
L-0001;Norrsken Components AB;Invoice;P-2026-0021;05.06.2026;05.07.2026;EUR;8.420,00
L-0002;Weierhof Kunststoff;Invoice;P-2026-0019;17.05.2026;01.07.2026;EUR;4.980,25
L-0002;Weierhof Kunststoff;Invoice;P-2026-0023;17.06.2026;01.08.2026;EUR;4.980,25
L-0003;Pallas Calibration NV;Invoice;P-2025-0018;22.12.2025;21.01.2026;EUR;3.985,40
L-0004;Ridgeway Tooling Inc;Invoice;P-2026-0018;12.05.2026;11.06.2026;USD;5.663,54
L-0004;Ridgeway Tooling Inc;Invoice;P-2026-0022;12.06.2026;12.07.2026;USD;5.713,96
L-0006;Talvik Logistikk;Invoice;P-2026-0020;26.05.2026;25.06.2026;EUR;2.310,00
L-0006;Talvik Logistikk;Invoice;P-2026-0024;26.06.2026;26.07.2026;EUR;2.310,00
