Party;Name;Kind;Reference;Issued;Due;Currency;Open (EUR)
K-0001;Halden Metrology AS;Invoice;S-2025-0041;18.11.2025;18.12.2025;EUR;18.450,00
K-0001;Halden Metrology AS;Invoice;S-2026-0021;07.05.2026;06.06.2026;EUR;21.400,00
K-0001;Halden Metrology AS;Invoice;S-2026-0026;07.06.2026;07.07.2026;EUR;21.400,00
K-0002;Ottersen Laboratorier;Invoice;S-2026-0022;11.05.2026;25.06.2026;EUR;13.980,50
K-0002;Ottersen Laboratorier;Invoice;S-2026-0027;11.06.2026;26.07.2026;EUR;13.980,50
K-0003;Brecht Präzision GmbH;Invoice;S-2025-0042;03.12.2025;02.01.2026;EUR;9.120,50
K-0003;Brecht Präzision GmbH;Invoice;S-2026-0024;19.05.2026;18.06.2026;EUR;9.450,75
K-0003;Brecht Präzision GmbH;Invoice;S-2026-0029;19.06.2026;19.07.2026;EUR;9.450,75
K-0005;Calder Scientific Ltd;Invoice;S-2026-0023;15.05.2026;14.07.2026;USD;16.262,40
K-0005;Calder Scientific Ltd;Invoice;S-2026-0028;15.06.2026;14.08.2026;USD;16.352,16
K-0006;Vossberg Institut;Invoice;S-2025-0043;19.12.2025;18.01.2026;EUR;24.780,00
K-0007;Marchetti Strumenti Srl;Invoice;S-2026-0025;23.05.2026;07.07.2026;EUR;26.310,00
K-0007;Marchetti Strumenti Srl;Invoice;S-2026-0030;23.06.2026;07.08.2026;EUR;26.310,00
