Code;Entry;Line;Posted;Period;Module;Document;Party;Text;Amount;Currency;Foreign Amount;Reverses
1010;JNL-00024;2;01.01.2026;01.2026;manual;;;Workshop rent;-2.400,00;EUR;;
1010;JNL-00003;1;27.01.2026;01.2026;cash_receipts;S-2026-0001;K-0001;Customer receipt;21.400,00;EUR;;
1010;JNL-00017;2;30.01.2026;01.2026;cash_disbursements;P-2026-0001;L-0001;Supplier payment;-8.420,00;EUR;;
1010;JNL-00006;1;31.01.2026;01.2026;cash_receipts;S-2026-0002;K-0002;Customer receipt;13.980,50;EUR;;
1010;JNL-00025;2;31.01.2026;01.2026;manual;;;Payroll; January;-18.750,00;EUR;;
1010;JNL-00049;2;01.02.2026;02.2026;manual;;;Workshop rent;-2.400,00;EUR;;
1010;JNL-00009;1;04.02.2026;02.2026;cash_receipts;S-2026-0003;K-0005;Customer receipt;16.086,40;EUR;;
1010;JNL-00019;2;06.02.2026;02.2026;cash_disbursements;P-2026-0002;L-0004;Supplier payment;-5.640,16;EUR;;
1010;JNL-00012;1;08.02.2026;02.2026;cash_receipts;S-2026-0004;K-0003;Customer receipt;9.450,75;EUR;;
1010;JNL-00021;2;11.02.2026;02.2026;cash_disbursements;P-2026-0003;L-0002;Supplier payment;-4.980,25;EUR;;
1010;JNL-00015;1;12.02.2026;02.2026;cash_receipts;S-2026-0005;K-0007;Customer receipt;26.310,00;EUR;;
1010;JNL-00023;2;20.02.2026;02.2026;cash_disbursements;P-2026-0004;L-0006;Supplier payment;-2.310,00;EUR;;
1010;JNL-00028;1;27.02.2026;02.2026;cash_receipts;S-2026-0006;K-0001;Customer receipt;21.400,00;EUR;;
1010;JNL-00050;2;28.02.2026;02.2026;manual;;;Payroll;-18.737,50;EUR;;
1010;JNL-00074;2;01.03.2026;03.2026;manual;;;Workshop rent;-2.400,00;EUR;;
1010;JNL-00042;2;02.03.2026;03.2026;cash_disbursements;P-2026-0005;L-0001;Supplier payment;-8.420,00;EUR;;
1010;JNL-00031;1;03.03.2026;03.2026;cash_receipts;S-2026-0007;K-0002;Customer receipt;13.980,50;EUR;;
1010;JNL-00034;1;07.03.2026;03.2026;cash_receipts;S-2026-0008;K-0005;Customer receipt;16.102,24;EUR;;
1010;JNL-00044;2;09.03.2026;03.2026;cash_disbursements;P-2026-0006;L-0004;Supplier payment;-5.626,64;EUR;;
1010;JNL-00037;1;11.03.2026;03.2026;cash_receipts;S-2026-0009;K-0003;Customer receipt;9.450,75;EUR;;
1010;JNL-00046;2;14.03.2026;03.2026;cash_disbursements;P-2026-0007;L-0002;Supplier payment;-4.980,25;EUR;;
1010;JNL-00040;1;15.03.2026;03.2026;cash_receipts;S-2026-0010;K-0007;Customer receipt;26.310,00;EUR;;
1010;JNL-00048;2;23.03.2026;03.2026;cash_disbursements;P-2026-0008;L-0006;Supplier payment;-2.310,00;EUR;;
1010;JNL-00053;1;27.03.2026;03.2026;cash_receipts;S-2026-0011;K-0001;Customer receipt;21.400,00;EUR;;
1010;JNL-00067;2;30.03.2026;03.2026;cash_disbursements;P-2026-0009;L-0001;Supplier payment;-8.420,00;EUR;;
1010;JNL-00056;1;31.03.2026;03.2026;cash_receipts;S-2026-0012;K-0002;Customer receipt;13.980,50;EUR;;
1010;JNL-00075;2;31.03.2026;03.2026;manual;;;Payroll;-18.750,00;EUR;;
1010;JNL-00099;2;01.04.2026;04.2026;manual;;;Workshop rent;-2.400,00;EUR;;
1010;JNL-00059;1;04.04.2026;04.2026;cash_receipts;S-2026-0013;K-0005;Customer receipt;16.192,00;EUR;;
1010;JNL-00069;2;06.04.2026;04.2026;cash_disbursements;P-2026-0010;L-0004;Supplier payment;-5.658,00;EUR;;
1010;JNL-00062;1;08.04.2026;04.2026;cash_receipts;S-2026-0014;K-0003;Customer receipt;9.450,75;EUR;;
1010;JNL-00071;2;11.04.2026;04.2026;cash_disbursements;P-2026-0011;L-0002;Supplier payment;-4.980,25;EUR;;
1010;JNL-00065;1;12.04.2026;04.2026;cash_receipts;S-2026-0015;K-0007;Customer receipt;26.310,00;EUR;;
1010;JNL-00133;1;14.04.2026;04.2026;manual;;;Scrap recovery;320,00;EUR;;
1010;JNL-00073;2;20.04.2026;04.2026;cash_disbursements;P-2026-0012;L-0006;Supplier payment;-2.310,00;EUR;;
1010;JNL-00078;1;27.04.2026;04.2026;cash_receipts;S-2026-0016;K-0001;Customer receipt;21.400,00;EUR;;
1010;JNL-00092;2;30.04.2026;04.2026;cash_disbursements;P-2026-0013;L-0001;Supplier payment;-8.420,00;EUR;;
1010;JNL-00100;2;30.04.2026;04.2026;manual;;;Payroll;-18.750,00;EUR;;
1010;JNL-00081;1;01.05.2026;05.2026;cash_receipts;S-2026-0017;K-0002;Customer receipt;13.980,50;EUR;;
1010;JNL-00115;2;01.05.2026;05.2026;manual;;;Workshop rent;-2.400,00;EUR;;
