Bill No;Party;Issued;Due;Currency;Gross;Rate;Gross (EUR);Outstanding;State
P-2026-0024;L-0006;26.06.2026;26.07.2026;EUR;2.310,00;1,0000;2.310,00;2.310,00;OPEN
P-2026-0023;L-0002;17.06.2026;01.08.2026;EUR;4.980,25;1,0000;4.980,25;4.980,25;OPEN
P-2026-0022;L-0004;12.06.2026;12.07.2026;USD;6.150,00;0,9291;5.713,96;6.150,00;OPEN
P-2026-0021;L-0001;05.06.2026;05.07.2026;EUR;8.420,00;1,0000;8.420,00;8.420,00;OPEN
P-2026-0020;L-0006;26.05.2026;25.06.2026;EUR;2.310,00;1,0000;2.310,00;2.310,00;OPEN
P-2026-0019;L-0002;17.05.2026;01.07.2026;EUR;4.980,25;1,0000;4.980,25;4.980,25;OPEN
P-2026-0018;L-0004;12.05.2026;11.06.2026;USD;6.150,00;0,9209;5.663,54;6.150,00;OPEN
P-2026-0017;L-0001;05.05.2026;04.06.2026;EUR;8.420,00;1,0000;8.420,00;8.420,00;OPEN
P-2026-0016;L-0006;26.04.2026;26.05.2026;EUR;2.310,00;1,0000;2.310,00;0,00;SETTLED
P-2026-0015;L-0002;17.04.2026;01.06.2026;EUR;4.980,25;1,0000;4.980,25;0,00;SETTLED
P-2026-0014;L-0004;12.04.2026;12.05.2026;USD;6.150,00;0,9231;5.677,06;0,00;SETTLED
P-2026-0013;L-0001;05.04.2026;05.05.2026;EUR;8.420,00;1,0000;8.420,00;0,00;SETTLED
P-2026-0012;L-0006;26.03.2026;25.04.2026;EUR;2.310,00;1,0000;2.310,00;0,00;SETTLED
P-2026-0011;L-0002;17.03.2026;01.05.2026;EUR;4.980,25;1,0000;4.980,25;0,00;SETTLED
P-2026-0010;L-0004;12.03.2026;11.04.2026;USD;6.150,00;0,9180;5.645,70;0,00;SETTLED
P-2026-0009;L-0001;05.03.2026;04.04.2026;EUR;8.420,00;1,0000;8.420,00;0,00;SETTLED
P-2026-0008;L-0006;26.02.2026;28.03.2026;EUR;2.310,00;1,0000;2.310,00;0,00;SETTLED
P-2026-0007;L-0002;17.02.2026;03.04.2026;EUR;4.980,25;1,0000;4.980,25;0,00;SETTLED
P-2026-0006;L-0004;12.02.2026;14.03.2026;USD;6.150,00;0,9129;5.614,34;0,00;SETTLED
P-2026-0005;L-0001;05.02.2026;07.03.2026;EUR;8.420,00;1,0000;8.420,00;0,00;SETTLED
P-2026-0004;L-0006;26.01.2026;25.02.2026;EUR;2.310,00;1,0000;2.310,00;0,00;SETTLED
P-2026-0003;L-0002;17.01.2026;03.03.2026;EUR;4.980,25;1,0000;4.980,25;0,00;SETTLED
P-2026-0002;L-0004;12.01.2026;11.02.2026;USD;6.150,00;0,9120;5.608,80;0,00;SETTLED
P-2026-0001;L-0001;05.01.2026;04.02.2026;EUR;8.420,00;1,0000;8.420,00;0,00;SETTLED
P-2025-0018;L-0003;22.12.2025;21.01.2026;EUR;3.985,40;1,0000;3.985,40;3.985,40;OPEN
P-2025-0017;L-0001;08.12.2025;07.01.2026;EUR;7.310,00;1,0000;7.310,00;7.310,00;OPEN
