Invoice No;Party;Issued;Due;Currency;Gross;Rate;Gross (EUR);Outstanding;State
S-2026-0029;K-0003;19.06.2026;19.07.2026;EUR;9.450,75;1,0000;9.450,75;9.450,75;OPEN
S-2026-0028;K-0005;15.06.2026;14.08.2026;USD;17.600,00;0,9291;16.352,16;17.600,00;OPEN
S-2026-0027;K-0002;11.06.2026;26.07.2026;EUR;13.980,50;1,0000;13.980,50;13.980,50;OPEN
S-2026-0026;K-0001;07.06.2026;07.07.2026;EUR;21.400,00;1,0000;21.400,00;21.400,00;OPEN
S-2026-0025;K-0007;23.05.2026;07.07.2026;EUR;26.310,00;1,0000;26.310,00;26.310,00;OPEN
S-2026-0024;K-0003;19.05.2026;18.06.2026;EUR;9.450,75;1,0000;9.450,75;9.450,75;OPEN
S-2026-0023;K-0005;15.05.2026;14.07.2026;USD;17.600,00;0,9240;16.262,40;17.600,00;OPEN
S-2026-0022;K-0002;11.05.2026;25.06.2026;EUR;13.980,50;1,0000;13.980,50;13.980,50;OPEN
S-2026-0021;K-0001;07.05.2026;06.06.2026;EUR;21.400,00;1,0000;21.400,00;21.400,00;OPEN
S-2026-0020;K-0007;23.04.2026;07.06.2026;EUR;26.310,00;1,0000;26.310,00;0,00;SETTLED
S-2026-0019;K-0003;19.04.2026;19.05.2026;EUR;9.450,75;1,0000;9.450,75;0,00;SETTLED
S-2026-0018;K-0005;15.04.2026;14.06.2026;USD;17.600,00;0,9231;16.246,56;0,00;SETTLED
S-2026-0017;K-0002;11.04.2026;26.05.2026;EUR;13.980,50;1,0000;13.980,50;0,00;SETTLED
S-2026-0016;K-0001;07.04.2026;07.05.2026;EUR;21.400,00;1,0000;21.400,00;0,00;SETTLED
S-2026-0015;K-0007;23.03.2026;07.05.2026;EUR;26.310,00;1,0000;26.310,00;0,00;SETTLED
S-2026-0014;K-0003;19.03.2026;18.04.2026;EUR;9.450,75;1,0000;9.450,75;0,00;SETTLED
S-2026-0013;K-0005;15.03.2026;14.05.2026;USD;17.600,00;0,9180;16.156,80;0,00;SETTLED
S-2026-0012;K-0002;11.03.2026;25.04.2026;EUR;13.980,50;1,0000;13.980,50;0,00;SETTLED
S-2026-0011;K-0001;07.03.2026;06.04.2026;EUR;21.400,00;1,0000;21.400,00;0,00;SETTLED
S-2026-0010;K-0007;23.02.2026;09.04.2026;EUR;26.310,00;1,0000;26.310,00;0,00;SETTLED
S-2026-0009;K-0003;19.02.2026;21.03.2026;EUR;9.450,75;1,0000;9.450,75;0,00;SETTLED
S-2026-0008;K-0005;15.02.2026;16.04.2026;USD;17.600,00;0,9129;16.067,04;0,00;SETTLED
S-2026-0007;K-0002;11.02.2026;28.03.2026;EUR;13.980,50;1,0000;13.980,50;0,00;SETTLED
S-2026-0006;K-0001;07.02.2026;09.03.2026;EUR;21.400,00;1,0000;21.400,00;0,00;SETTLED
S-2026-0005;K-0007;23.01.2026;09.03.2026;EUR;26.310,00;1,0000;26.310,00;0,00;SETTLED
S-2026-0004;K-0003;19.01.2026;18.02.2026;EUR;9.450,75;1,0000;9.450,75;0,00;SETTLED
S-2026-0003;K-0005;05.01.2026;16.03.2026;USD;17.600,00;0,9151;16.105,76;0,00;SETTLED
S-2026-0002;K-0002;11.01.2026;25.02.2026;EUR;13.980,50;1,0000;13.980,50;0,00;SETTLED
S-2026-0001;K-0001;07.01.2026;06.02.2026;EUR;21.400,00;1,0000;21.400,00;0,00;SETTLED
S-2025-0043;K-0006;19.12.2025;18.01.2026;EUR;24.780,00;1,0000;24.780,00;24.780,00;OPEN
S-2025-0042;K-0003;03.12.2025;02.01.2026;EUR;9.120,50;1,0000;9.120,50;9.120,50;OPEN
S-2025-0041;K-0001;18.11.2025;18.12.2025;EUR;18.450,00;1,0000;18.450,00;18.450,00;OPEN
