Ref;Type;Value Date;Party;Method;Currency;Amount;Rate;Amount (EUR);Against;Allocated;On Account
Z-0001;Receipt;27.01.2026;K-0001;ach;EUR;21.400,00;1,0000;21.400,00;S-2026-0001;21.400,00;0,00
Z-0002;Receipt;31.01.2026;K-0002;ach;EUR;13.980,50;1,0000;13.980,50;S-2026-0002;13.980,50;0,00
Z-0003;Receipt;04.02.2026;K-0005;wire;USD;17.600,00;0,9140;16.086,40;S-2026-0003;17.600,00;0,00
Z-0004;Receipt;08.02.2026;K-0003;ach;EUR;9.450,75;1,0000;9.450,75;S-2026-0004;9.450,75;0,00
Z-0005;Receipt;12.02.2026;K-0007;ach;EUR;26.310,00;1,0000;26.310,00;S-2026-0005;26.310,00;0,00
Z-0006;Payment;30.01.2026;L-0001;check;EUR;8.420,00;1,0000;8.420,00;P-2026-0001;8.420,00;0,00
Z-0007;Payment;06.02.2026;L-0004;wire;USD;6.150,00;0,9171;5.640,16;P-2026-0002;6.150,00;0,00
Z-0008;Payment;11.02.2026;L-0002;check;EUR;4.980,25;1,0000;4.980,25;P-2026-0003;4.980,25;0,00
Z-0009;Payment;20.02.2026;L-0006;check;EUR;2.310,00;1,0000;2.310,00;P-2026-0004;2.310,00;0,00
Z-0010;Receipt;27.02.2026;K-0001;ach;EUR;21.400,00;1,0000;21.400,00;S-2026-0006;21.400,00;0,00
Z-0011;Receipt;03.03.2026;K-0002;ach;EUR;13.980,50;1,0000;13.980,50;S-2026-0007;13.980,50;0,00
Z-0012;Receipt;07.03.2026;K-0005;wire;USD;17.600,00;0,9149;16.102,24;S-2026-0008;17.600,00;0,00
Z-0013;Receipt;11.03.2026;K-0003;ach;EUR;9.450,75;1,0000;9.450,75;S-2026-0009;9.450,75;0,00
Z-0014;Receipt;15.03.2026;K-0007;ach;EUR;26.310,00;1,0000;26.310,00;S-2026-0010;26.310,00;0,00
Z-0015;Payment;02.03.2026;L-0001;check;EUR;8.420,00;1,0000;8.420,00;P-2026-0005;8.420,00;0,00
Z-0016;Payment;09.03.2026;L-0004;wire;USD;6.150,00;0,9149;5.626,64;P-2026-0006;6.150,00;0,00
Z-0017;Payment;14.03.2026;L-0002;check;EUR;4.980,25;1,0000;4.980,25;P-2026-0007;4.980,25;0,00
Z-0018;Payment;23.03.2026;L-0006;check;EUR;2.310,00;1,0000;2.310,00;P-2026-0008;2.310,00;0,00
Z-0019;Receipt;27.03.2026;K-0001;ach;EUR;21.400,00;1,0000;21.400,00;S-2026-0011;21.400,00;0,00
Z-0020;Receipt;31.03.2026;K-0002;ach;EUR;13.980,50;1,0000;13.980,50;S-2026-0012;13.980,50;0,00
Z-0021;Receipt;04.04.2026;K-0005;wire;USD;17.600,00;0,9200;16.192,00;S-2026-0013;17.600,00;0,00
Z-0022;Receipt;08.04.2026;K-0003;ach;EUR;9.450,75;1,0000;9.450,75;S-2026-0014;9.450,75;0,00
Z-0023;Receipt;12.04.2026;K-0007;ach;EUR;26.310,00;1,0000;26.310,00;S-2026-0015;26.310,00;0,00
Z-0024;Payment;30.03.2026;L-0001;check;EUR;8.420,00;1,0000;8.420,00;P-2026-0009;8.420,00;0,00
Z-0025;Payment;06.04.2026;L-0004;wire;USD;6.150,00;0,9200;5.658,00;P-2026-0010;6.150,00;0,00
Z-0026;Payment;11.04.2026;L-0002;check;EUR;4.980,25;1,0000;4.980,25;P-2026-0011;4.980,25;0,00
Z-0027;Payment;20.04.2026;L-0006;check;EUR;2.310,00;1,0000;2.310,00;P-2026-0012;2.310,00;0,00
Z-0028;Receipt;27.04.2026;K-0001;ach;EUR;21.400,00;1,0000;21.400,00;S-2026-0016;21.400,00;0,00
Z-0029;Receipt;01.05.2026;K-0002;ach;EUR;13.980,50;1,0000;13.980,50;S-2026-0017;13.980,50;0,00
Z-0030;Receipt;05.05.2026;K-0005;wire;USD;17.600,00;0,9251;16.281,76;S-2026-0018;17.600,00;0,00
Z-0031;Receipt;09.05.2026;K-0003;ach;EUR;9.450,75;1,0000;9.450,75;S-2026-0019;9.450,75;0,00
Z-0032;Receipt;13.05.2026;K-0007;ach;EUR;26.310,00;1,0000;26.310,00;S-2026-0020;26.310,00;0,00
Z-0033;Payment;30.04.2026;L-0001;check;EUR;8.420,00;1,0000;8.420,00;P-2026-0013;8.420,00;0,00
Z-0034;Payment;07.05.2026;L-0004;wire;USD;6.150,00;0,9209;5.663,54;P-2026-0014;6.150,00;0,00
Z-0035;Payment;12.05.2026;L-0002;check;EUR;4.980,25;1,0000;4.980,25;P-2026-0015;4.980,25;0,00
Z-0036;Payment;21.05.2026;L-0006;check;EUR;2.310,00;1,0000;2.310,00;P-2026-0016;2.310,00;0,00
